,State,Crop,Season,District ,Area ,Production,Yield,Profit,Rainfall
259,andhra pradesh,cashewnut,whole year ,khammam,9002.090909,2674.909091,0.32,nan,nan
260,andhra pradesh,cashewnut,whole year ,krishna,391.0909091,94.09090909,0.246363636,nan,nan
261,andhra pradesh,cashewnut,whole year ,mahbubnagar,6.25,1.666666667,0.17625,nan,nan
262,andhra pradesh,cashewnut,whole year ,medak,19.71428571,4.428571429,0.218571429,nan,nan
263,andhra pradesh,cashewnut,whole year ,nalgonda,4.0,1.0,0.25,nan,nan
264,andhra pradesh,cashewnut,whole year ,prakasam,828.5454545,210.2727273,0.249090909,nan,nan
265,andhra pradesh,cashewnut,whole year ,rangareddi,3.333333333,0.8,0.18,nan,nan
266,andhra pradesh,cashewnut,whole year ,spsr nellore,633.0909091,153.2727273,0.247272727,nan,nan
267,andhra pradesh,cashewnut,whole year ,srikakulam,20938.63636,7892.545455,0.378181818,nan,nan
268,andhra pradesh,cashewnut,whole year ,visakhapatanam,31532.27273,8486.363636,0.271818182,nan,nan
269,andhra pradesh,cashewnut,whole year ,vizianagaram,12568.54545,3134.0,0.245454545,nan,nan
270,andhra pradesh,cashewnut,whole year ,west godavari,35871.54545,8290.0,0.245454545,nan,nan
271,andhra pradesh,castor seed,kharif     ,adilabad,1038.071429,326.5,0.363571429,nan,nan
272,andhra pradesh,castor seed,kharif     ,anantapur,7708.521739,3162.130435,0.454347826,nan,nan
273,andhra pradesh,castor seed,kharif     ,chittoor,253.2,122.65,0.486,nan,nan
274,andhra pradesh,castor seed,kharif     ,east godavari,30.76923077,16.53846154,0.476153846,nan,nan
275,andhra pradesh,castor seed,kharif     ,guntur,2045.434783,1371.695652,0.764782609,nan,nan
276,andhra pradesh,castor seed,kharif     ,kadapa,1690.130435,748.2173913,0.524347826,nan,nan
277,andhra pradesh,castor seed,kharif     ,karimnagar,1681.933333,680.3333333,0.381333333,nan,nan
278,andhra pradesh,castor seed,kharif     ,khammam,14.125,5.875,0.38125,nan,nan
279,andhra pradesh,castor seed,kharif     ,krishna,16.33333333,5.333333333,0.323333333,nan,nan
280,andhra pradesh,castor seed,kharif     ,kurnool,25795.22727,11961.59091,0.495454545,nan,nan
281,andhra pradesh,castor seed,kharif     ,mahbubnagar,123104.0,50361.0625,0.41375,nan,nan
282,andhra pradesh,castor seed,kharif     ,medak,2356.0,947.4375,0.415,nan,nan
283,andhra pradesh,castor seed,kharif     ,nalgonda,49311.125,14628.625,0.284375,nan,nan
